nom_annonce;url_annonce;prix;annee;kilometrage;puissance_cv;carburant;boite_vitesse;code_postal;age_voiture
Dacia Jogger;https://www.autosphere.fr/fiche/auto-occasion-dacia-jogger-1-0-eco-g-100ch-sl-extreme-7-places-59320-sequedin-233836;18799;2023;48697;5;Gpl;Manuelle;59;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-62000-arras-451490;15399;2023;21974;5;Essence;Manuelle;62;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-techno-24-51000-chalons-en-champagne-021874;21999;2024;18879;5;Hybride;Automatique;51;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-techno-24-57000-metz-226741;22499;2025;10601;5;Hybride;Automatique;57;1
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-5-blue-dci-100ch-evolution-24-38300-bourgoin-jallieu-233649;18187;2024;14650;5;Diesel;Manuelle;38;2
Nissan Qashqai;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-1-3-mild-hybrid-140ch-business-edition-69200-venissieux-617580;16980;2023;84968;7;Essence;Manuelle;69;3
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-evolution-73200-albertville-251140;17699;2023;8332;5;Essence;Manuelle;73;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-73203-albertville-330834;17980;2024;30566;5;Essence;Automatique;73;2
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-intense-design-4wd-59640-dunkerque-601129;27999;2023;31369;5;Hybride;Automatique;59;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-60740-saint-maximin-1020050;18999;2024;10684;5;Essence;Automatique;60;2
Renault Zoé;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-evolution-charge-normale-r110-achat-integral-my22-13300-salon-de-provence-302845;12499;2022;85138;4;Electrique;Automatique;13;4
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-77100-nanteuil-les-meaux-037318;21499;2025;17724;5;Hybride;Automatique;77;1
Renault Zoé;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-intens-charge-normale-r110-achat-integral-4cv-51530-magenta-250671;15499;2021;13374;4;Electrique;Automatique;51;5
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-active-38000-grenoble-115442;17480;2008;24234;5;Essence;Manuelle;38;18
Renault Arkana;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-3-tce-140ch-fap-business-edc-93250-villemomble-v123548;19799;2023;49947;7;Essence;Automatique;93;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-74200-thonon-les-bains-049146;16499;2023;10847;5;Essence;Manuelle;74;3
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-techno-77100-nanteuil-les-meaux-037377;26499;2025;20122;5;Hybride;Automatique;77;1
Dacia Duster;https://www.autosphere.fr/fiche4/auto-occasion-dacia-duster-1-3-tce-150ch-fap-confort-4x2-edc-25000-besancon-195167;18986;2022;46412;8;Essence;Automatique;25;4
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-62218-loison-sous-lens-251005;14999;2023;22990;5;Essence;Manuelle;62;3
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-hybrid-225ch-gt-e-eat8-10cv-13100-aix-en-provence-95734;23299;2021;55207;10;Hybride;Automatique;13;5
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-journey-4x2-57600-forbach-231966;18999;2023;15995;5;Gpl;Manuelle;57;3
