nom_annonce;url_annonce;prix;annee;kilometrage;puissance_cv;carburant;boite_vitesse;code_postal;age_voiture
Renault Clio;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-5-blue-dci-100ch-evolution-26000-valence-442110;16358;2024;50698;5;Diesel;Manuelle;26;2
Mercedes Classe A;https://www.autosphere.fr/fiche/auto-occasion-mercedes-classe-a-200-d-150ch-amg-line-8g-dct-80136-rivery-949099;31599;2022;76334;8;Diesel;Automatique;80;4
Ds Ds 4;https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-4-puretech-130ch-bastille-automatique-38320-eybens-350132;19980;2022;84707;7;Essence;Automatique;38;4
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-turbo-100ch-max-86100-chatellerault-1232055;18999;2025;9668;5;Essence;Manuelle;86;1
Ford Transit Connect;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-transit-connect-l2-1-5-ecoboost-150ch-phev-flexcab-trend-bva6-59494-petite-foret-st42645640;35490;2024;3000;7;Hybride;Automatique;59;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-evolution-02000-laon-250954;16999;2023;20391;5;Essence;Manuelle;2;3
Mg Ehs;https://www.autosphere.fr/fiche4/auto-occasion-mg-ehs-1-5t-gdi-258ch-phev-luxury-26000-valence-206455;23989;2024;30347;8;Hybride;Automatique;26;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-02300-chauny-250848;16990;2023;26131;5;Essence;Manuelle;2;3
Renault 5;https://www.autosphere.fr/fiche/auto-occasion-renault-5-e-tech-electrique-120ch-techno-autonomie-urbaine-13127-vitrolles-c1751;29299;2025;2000;5;Electrique;Automatique;13;1
Mercedes Classe A;https://www.autosphere.fr/fiche/auto-occasion-mercedes-classe-a-200-d-150ch-amg-line-8g-dct-86000-poitiers-2251008;31399;2023;79513;8;Diesel;Automatique;86;3
Dacia Sandero;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-extreme-38200-vienne-100734;15900;2024;10094;5;Gpl;Manuelle;38;2
Renault Talisman;https://www.autosphere.fr/fiche4/auto-occasion-renault-talisman-1-7-blue-dci-150ch-business-19-69400-arnas-915372;13490;2019;109900;8;Diesel;Manuelle;69;7
Peugeot 5008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-5008-1-5-bluehdi-130ch-s-s-gt-line-eat8-38300-bourgoin-jallieu-10094;22490;2020;76000;7;Diesel;Automatique;38;6
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-08000-charleville-mezieres-222097;14890;2024;15912;5;Essence;Manuelle;8;2
Citroen C5 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-bluehdi-130ch-s-s-feel-eat8-08000-charleville-mezieres-602;17939;2022;120761;7;Diesel;Automatique;8;4
Nissan Micra;https://www.autosphere.fr/fiche/auto-occasion-nissan-micra-1-0-ig-t-92ch-made-in-france-xtronic-2021-77100-nanteuil-les-meaux-53238;13299;2021;80185;5;Essence;Automatique;77;5
Citroen C1;https://www.autosphere.fr/fiche/auto-occasion-citroen-c1-vti-72-s-s-feel-5p-e6-d-86000-poitiers-12092670;9499;2021;54555;4;Essence;Manuelle;86;5
Peugeot 508 Sw;https://www.autosphere.fr/fiche/auto-occasion-peugeot-508-sw-bluehdi-130ch-s-s-gt-eat8-86000-poitiers-12092495;22999;2023;79105;7;Diesel;Automatique;86;3
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-5-bluehdi-100ch-s-s-allure-60005-beauvais-2016896;16799;2024;66278;5;Diesel;Manuelle;60;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-26100-romans-sur-isere-120081;15379;2023;18389;5;Essence;Manuelle;26;3
Renault Austral;https://www.autosphere.fr/fiche/auto-occasion-renault-austral-1-2-e-tech-full-hybrid-200ch-esprit-alpine-25-13127-vitrolles-c1733;42799;2025;5000;7;Hybride;Automatique;13;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-79000-niort-1242722;18699;2024;9601;5;Essence;Automatique;79;2
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-1-2-hybrid-145ch-allure-e-dcs6-01100-bellignat-128179;32480;2025;1346;7;Essence;Automatique;1;1
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-62219-longuenesse-250674;12299;2021;70651;5;Gpl;Manuelle;62;5
Peugeot 2008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-2008-1-2-puretech-130ch-e6-c-crossway-s-s-73100-aix-les-bains-330958;9988;2008;106186;7;Essence;Manuelle;73;18
Peugeot Partner;https://www.autosphere.fr/fiche/auto-occasion-peugeot-partner-standard-1000kg-bluehdi-100ch-s-s-bvm5-grip-64200-bassussarry-49869;15699;2022;77931;5;Diesel;Manuelle;64;4
Ford Puma;https://www.autosphere.fr/fiche4/auto-occasion-ford-puma-1-0-ecoboost-125-ch-mhev-s-s-bvm6-st-line-26100-romans-sur-isere-119967;12978;2021;115394;6;Essence;Manuelle;26;5
Peugeot 3008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-2-puretech-130ch-s-s-allure-pack-60200-compiegne-3013640;14499;2021;60105;7;Essence;Manuelle;60;5
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-5-blue-dci-100ch-business-21n-02600-villers-cotterets-250730;15799;2021;38345;5;Diesel;Manuelle;2;5
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-pack-38000-grenoble-115919;12830;2023;15247;4;Essence;Manuelle;38;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-25-63170-aubiere-400351;21599;2025;20034;5;Hybride;Automatique;63;1
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-100ch-s-s-allure-79000-niort-1242731;21799;2008;3115;5;Essence;Manuelle;79;18
Renault Clio;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-26000-valence-442375;14160;2022;19742;5;Essence;Manuelle;26;4
Renault Twingo;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-twingo-1-0-sce-65ch-life-e6d-full-59160-lomme-300376;10399;2021;21631;4;Essence;Manuelle;59;5
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-0-9-tce-90ch-energy-intens-euro6c-62232-fouquieres-les-bethune-250603;11999;2019;72761;5;Essence;Manuelle;62;7
Volvo Xc40;https://www.autosphere.fr/fiche/auto-occasion-volvo-xc40-t4-recharge-129-82ch-ultimate-dct-7-94430-chennevieres-sur-marne-252092;33999;2022;63379;7;Hybride;Automatique;94;4
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-esprit-alpine-25-13127-vitrolles-30282;24999;2025;3520;5;Hybride;Automatique;13;1
Mitsubishi Colt;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-colt-1-0-mpi-t-91ch-intense-2025-79000-niort-1242381;19499;2025;5;5;Essence;Manuelle;79;1
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-3-tce-mild-hybrid-160ch-techno-edc-62800-lievin-241090;22799;2023;10428;8;Essence;Automatique;62;3
Seat Ibiza;https://www.autosphere.fr/fiche/auto-occasion-seat-ibiza-1-0-tsi-110ch-fr-84120-pertuis-250299;19799;2024;1547;6;Essence;Manuelle;84;2
Peugeot 3008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-3008-hybrid-225ch-allure-business-e-eat8-10cv-51100-reims-001130;19580;2020;68300;10;Hybride;Automatique;51;6
Nissan Qashqai;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-e-power-190ch-tekna-2022-69200-venissieux-617790;31990;2022;37644;8;Hybride;Automatique;69;4
Volkswagen T-Cross;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-t-cross-1-0-tsi-110ch-style-dsg7-86100-chatellerault-431054;21499;2022;49051;6;Essence;Automatique;86;4
Kia Stonic;https://www.autosphere.fr/fiche/auto-occasion-kia-stonic-1-0-t-gdi-120ch-mhev-active-business-ibvm6-51100-reims-048405;15299;2021;63002;6;Essence;Manuelle;51;5
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-instyle-4wd-2023-51100-reims-114962;31799;2023;5;5;Hybride;Automatique;51;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-active-86000-poitiers-1201851;14499;2022;27067;4;Electrique;Automatique;86;4
Peugeot 2008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-allure-60200-compiegne-3014408;13989;2008;60729;5;Essence;Manuelle;60;18
Bmw I3;https://www.autosphere.fr/fiche-mixte/auto-occasion-bmw-i3-170ch-120ah-edition-windmill-atelier-33700-merignac-2510033;17999;2022;44996;5;Electrique;Automatique;33;4
Citroen C5 Aircross;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c5-aircross-hybrid-rechargeable-180ch-shine-e-eat8-03100-montlucon-1002186;30499;2025;10;8;Hybride;Automatique;3;1
Renault Kadjar;https://www.autosphere.fr/fiche/auto-occasion-renault-kadjar-1-5-blue-dci-115ch-evolution-edc-57000-metz-227050;17799;2022;104037;6;Diesel;Automatique;57;4
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-like-38000-grenoble-115509;10526;2021;41126;4;Essence;Manuelle;38;5
Bmw X2;https://www.autosphere.fr/fiche-mixte/auto-occasion-bmw-x2-sdrive18i-136ch-m-sport-59650-villeneuve-d-ascq-2509566;28299;2022;23968;7;Essence;Manuelle;59;4
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-active-business-60740-saint-maximin-1019767;13299;2021;57539;4;Electrique;Automatique;60;5
Fiat 500;https://www.autosphere.fr/fiche/auto-occasion-fiat-500-1-0-70ch-bsg-s-s-63170-aubiere-400212;12299;2023;8800;4;Essence;Manuelle;63;3
Renault Symbioz;https://www.autosphere.fr/fiche4/auto-occasion-renault-symbioz-1-6-e-tech-full-hybrid-145ch-iconic-25300-pontarlier-663051;31985;2024;9645;5;Hybride;Automatique;25;2
Toyota C-Hr;https://www.autosphere.fr/fiche/auto-occasion-toyota-c-hr-2-0-200ch-gr-sport-ng23-69410-champagne-au-mont-d-or-st43154887;37990;2025;9300;8;Hybride;Automatique;69;1
Toyota Yaris Cross;https://www.autosphere.fr/fiche-mixte/auto-occasion-toyota-yaris-cross-130h-design-44400-reze-110050;26999;2025;20;5;Hybride;Automatique;44;1
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-intens-21-74100-annemasse-121758;15999;2021;33517;5;Essence;Manuelle;74;5
Citroen C3 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c3-aircross-puretech-110ch-s-s-shine-e6-d-73000-chambery-331197;12990;2020;21877;5;Essence;Manuelle;73;6
Citroen C4;https://www.autosphere.fr/fiche/auto-occasion-citroen-c4-puretech-130ch-s-s-shine-79000-niort-1242852;14999;2021;70094;7;Essence;Manuelle;79;5
Volkswagen Polo;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-polo-1-0-tsi-95ch-life-plus-51100-reims-115198;19799;2024;15873;5;Essence;Manuelle;51;2
Peugeot 2008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-allure-eat8-01100-bellignat-127929;14280;2008;80963;7;Essence;Automatique;1;18
Citroen C5 X;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c5-x-1-2-puretech-130ch-s-s-plus-boite-automatique-64300-orthez-71561;21499;2023;12432;7;Essence;Automatique;64;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-13100-aix-en-provence-95393;17499;2024;13040;5;Essence;Automatique;13;2
Skoda Superb;https://www.autosphere.fr/fiche/auto-occasion-skoda-superb-2-0-tdi190-scr-greentec-laurin-klement-dsg-94400-vitry-sur-seine-001388;21299;2016;87638;10;Diesel;Automatique;94;10
Ford Fiesta;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-fiesta-1-0-flexifuel-95ch-st-line-5p-79000-niort-1241996;15499;2023;32494;5;E85;Manuelle;79;3
Peugeot 3008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-5-bluehdi-130ch-e6-c-allure-s-s-6cv-62231-coquelles-251171;16499;2019;86516;6;Diesel;Manuelle;62;7
Dacia Spring;https://www.autosphere.fr/fiche/auto-occasion-dacia-spring-45ch-confort-plus-achat-integral-51000-chalons-en-champagne-021829;9499;2021;49648;2;Electrique;Automatique;51;5
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-evolution-86000-poitiers-12092873;18799;2024;18880;5;Essence;Manuelle;86;2
Mercedes Eqa;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-eqa-250-190ch-edition-17138-puilboreau-st43378692;38990;2025;11000;7;Electrique;Automatique;17;1
Renault Rafale;https://www.autosphere.fr/fiche4/auto-occasion-renault-rafale-1-2-e-tech-full-hybrid-200ch-esprit-alpine-25300-pontarlier-662870;43980;2025;10;7;Hybride;Automatique;25;1
Citroen Berlingo Van;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-berlingo-van-m-950kg-bluehdi-100ch-s-s-63000-clermont-ferrand-1001598;21399;2025;10;5;Diesel;Manuelle;63;1
Peugeot 508 Sw;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-508-sw-puretech-180ch-s-s-allure-pack-eat8-74600-seynod-159052;18478;2021;80506;10;Essence;Automatique;74;5
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-gt-16430-champniers-1242709;18299;2024;15500;5;Essence;Manuelle;16;2
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-turbo-100ch-plus-64300-orthez-71560;16999;2025;14551;5;Essence;Manuelle;64;1
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-confort-22-13300-salon-de-provence-302613;12699;2022;81878;5;Essence;Manuelle;13;4
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-79000-niort-1242144;10899;2023;43202;4;Essence;Manuelle;79;3
Mini Mini;https://www.autosphere.fr/fiche/auto-occasion-mini-mini-cooper-136ch-business-design-bva7-60000-beauvais-1250133;17499;2020;47279;7;Essence;Automatique;60;6
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-techno-24-73230-saint-alban-leysse-113005;23499;2025;8657;5;Hybride;Automatique;73;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-active-16430-champniers-127003;14499;2022;29886;4;Electrique;Automatique;16;4
Mitsubishi Space Star;https://www.autosphere.fr/fiche/auto-occasion-mitsubishi-space-star-1-2-red-line-edition-mt-my24-73300-saint-jean-de-maurienne-250808;13999;2025;50;4;Essence;Manuelle;73;1
Audi A3 Sportback;https://www.autosphere.fr/fiche/auto-occasion-audi-a3-sportback-40-tfsi-e-204ch-s-line-s-tronic-6-51520-saint-martin-sur-le-pre-053037;30799;2022;31423;8;Hybride;Automatique;51;4
Peugeot 2008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-style-eat8-13300-salon-de-provence-37201;17299;2008;53068;7;Essence;Automatique;13;18
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-business-21-94000-creteil-100231;18999;2022;39859;5;Hybride;Automatique;94;4
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-hybrid-145ch-allure-e-dcs6-84000-avignon-vdvn1006259;30500;2008;2000;7;Essence;Automatique;84;18
Citroen C4 X;https://www.autosphere.fr/fiche/auto-occasion-citroen-c4-x-bluehdi-130ch-s-s-shine-eat8-64300-orthez-71444;20299;2023;61338;7;Diesel;Automatique;64;3
Renault Twingo;https://www.autosphere.fr/fiche/auto-occasion-renault-twingo-e-tech-electric-techno-r80-achat-integral-13100-aix-en-provence-881641;12799;2022;21719;3;Electrique;Automatique;13;4
Volkswagen Taigo;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-taigo-1-0-tsi-116ch-vw-edition-02400-chateau-thierry-st43848890;23990;2025;2990;6;Essence;Manuelle;2;1
Peugeot 308;https://www.autosphere.fr/fiche/auto-occasion-peugeot-308-1-2-hybrid-145ch-gt-exclusive-e-dcs6-60005-beauvais-st44063288;35522;2025;5000;7;Essence;Automatique;60;1
Peugeot 208;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-hybrid-110ch-e-dcs6-86000-poitiers-vr3uphpx2s5034766;20999;2025;6000;5;Essence;Manuelle;86;1
Citroen C3 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c3-aircross-puretech-110ch-s-s-feel-e6-d-temp-51100-reims-001311;9470;2019;102300;5;Essence;Manuelle;51;7
Mg Zs;https://www.autosphere.fr/fiche4/auto-occasion-mg-zs-ev-143ch-luxury-51100-reims-001608;14872;2021;58200;2;Electrique;Automatique;51;5
Renault Mégane;https://www.autosphere.fr/fiche/auto-occasion-renault-megane-1-5-blue-dci-115ch-business-edc-10000-troyes-025438;14499;2021;109342;6;Diesel;Automatique;10;5
Volkswagen Tiguan;https://www.autosphere.fr/fiche-mixte/auto-occasion-volkswagen-tiguan-1-5-etsi-131ch-life-plus-dsg7-51520-saint-martin-sur-le-pre-053052;34299;2024;22158;7;Essence;Automatique;51;2
Audi Q2;https://www.autosphere.fr/fiche-mixte/auto-occasion-audi-q2-35-tfsi-150ch-advanced-s-tronic-7-51100-reims-010786;30499;2023;22359;8;Essence;Automatique;51;3
Renault Master;https://www.autosphere.fr/fiche/auto-occasion-renault-master-rj3500-l2-2-3-blue-dci-paf-ar-court-130ch-confort-eurovi-02200-soissons-250478;25999;2022;55499;8;Diesel;Manuelle;2;4
Dacia Lodgy;https://www.autosphere.fr/fiche4/auto-occasion-dacia-lodgy-1-5-blue-dci-115ch-stepway-7-places-e6d-full-38300-bourgoin-jallieu-216405;15979;2021;65210;6;Diesel;Manuelle;38;5
Renault 5;https://www.autosphere.fr/fiche4/auto-occasion-renault-5-e-tech-electrique-150ch-techno-autonomie-confort-38300-bourgoin-jallieu-233379;28580;2025;6500;5;Electrique;Automatique;38;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-13100-aix-en-provence-95415;17999;2024;8238;5;Essence;Automatique;13;2
Peugeot 3008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-2-0-bluehdi-180ch-s-s-gt-eat8-54135-mexy-241246;20990;2019;97104;9;Diesel;Automatique;54;7
Renault Clio;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-0-sce-65ch-evolution-26000-valence-441917;13980;2023;31374;4;Essence;Manuelle;26;3
Peugeot 3008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-5-bluehdi-130ch-e6-c-gt-line-s-s-eat8-37170-chambray-les-tours-700494;18999;2020;80521;6;Diesel;Automatique;37;6
Peugeot 5008;https://www.autosphere.fr/fiche/auto-occasion-peugeot-5008-hybrid-145ch-gt-e-dcs6-03100-montlucon-4000641;37990;2025;3911;7;Essence;Automatique;3;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-60200-compiegne-3014482;18999;2024;17810;5;Essence;Automatique;60;2
Ds Ds 4;https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-4-puretech-130ch-bastille-automatique-38320-eybens-350135;17980;2022;98954;7;Essence;Automatique;38;4
Renault Symbioz;https://www.autosphere.fr/fiche/auto-occasion-renault-symbioz-1-6-e-tech-full-hybrid-145ch-esprit-alpine-57180-terville-242080;32499;2025;4100;5;Hybride;Automatique;57;1
Renault Master;https://www.autosphere.fr/fiche/auto-occasion-renault-master-f3500-l2h2-2-3-blue-dci-135ch-confort-euro6-13730-saint-victoret-46035;23999;2023;42206;8;Diesel;Manuelle;13;3
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-5-blue-dci-100ch-evolution-24-02000-laon-250947;19799;2025;11101;5;Diesel;Manuelle;2;1
Fiat 500;https://www.autosphere.fr/fiche/auto-occasion-fiat-500-1-0-70ch-bsg-s-s-lounge-62219-longuenesse-250720;10299;2021;69940;4;Essence;Manuelle;62;5
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-esprit-alpine-25-13127-vitrolles-30407;21999;2025;1348;5;Essence;Manuelle;13;1
Peugeot 5008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-5008-1-5-bluehdi-130ch-s-s-gt-eat8-38300-bourgoin-jallieu-10018;23989;2022;94729;7;Diesel;Automatique;38;4
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-110ch-s-s-saint-james-121g-86400-civray-12092767;13799;2022;8200;6;Essence;Manuelle;86;4
Kia Stonic;https://www.autosphere.fr/fiche/auto-occasion-kia-stonic-1-0-t-gdi-100ch-gt-line-59600-maubeuge-5019494;16999;2022;35619;5;Essence;Manuelle;59;4
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-0-9-tce-90ch-stepway-44400-reze-110558;9999;2017;79102;5;Essence;Manuelle;44;9
Mercedes Cla;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-cla-200-d-150ch-amg-line-8g-dct-8cv-60740-saint-maximin-125164;41299;2023;15241;8;Diesel;Automatique;60;3
Fiat 500x;https://www.autosphere.fr/fiche4/auto-occasion-fiat-500x-1-0-firefly-turbo-t3-120ch-cross-73490-la-ravoire-gmsa509;12989;2019;59964;6;Essence;Manuelle;73;7
Audi Q3 Sportback;https://www.autosphere.fr/fiche-mixte/auto-occasion-audi-q3-sportback-35-tfsi-150ch-s-line-s-tronic-7-51100-reims-010672;45999;2024;19096;8;Essence;Automatique;51;2
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-c-series-123g-63000-clermont-ferrand-1002475;10399;2020;45280;4;Essence;Manuelle;63;6
Renault Scénic;https://www.autosphere.fr/fiche/auto-occasion-renault-scenic-1-3-tce-140ch-fap-black-edition-edc-59223-roncq-308147;18799;2020;67109;7;Essence;Automatique;59;6
Toyota Rav4;https://www.autosphere.fr/fiche/auto-occasion-toyota-rav4-197-hybride-lounge-awd-cvt-33260-la-teste-de-buch-300904;22999;2018;95569;8;Hybride;Automatique;33;8
Renault Rafale;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-rafale-1-2-e-tech-full-hybrid-200ch-esprit-alpine-51100-reims-001264;44825;2025;150;7;Hybride;Automatique;51;1
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-e-2008-136ch-allure-73000-chambery-330316;17280;2008;30356;4;Electrique;Automatique;73;18
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-expression-57180-terville-242188;15499;2024;22983;5;Gpl;Manuelle;57;2
Toyota Yaris;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-116h-dynamic-5p-my25-69140-rillieux-la-pape-st44131488;21499;2025;6000;5;Hybride;Automatique;69;1
Peugeot 308;https://www.autosphere.fr/fiche/auto-occasion-peugeot-308-1-5-bluehdi-130ch-s-s-active-pack-eat8-64140-billere-203099;23499;2024;26658;7;Diesel;Automatique;64;2
Mercedes Classe A Berline;https://www.autosphere.fr/fiche/auto-occasion-mercedes-classe-a-berline-180-d-116ch-amg-line-8g-dct-77100-meaux-8944;30999;2023;63782;6;Diesel;Automatique;77;3
Volkswagen T-Roc;https://www.autosphere.fr/fiche/auto-occasion-volkswagen-t-roc-1-0-tsi-110ch-lounge-business-16430-champniers-801595;22699;2021;28256;6;Essence;Manuelle;16;5
Renault Express;https://www.autosphere.fr/fiche4/auto-occasion-renault-express-1-5-blue-dci-95ch-confort-22-26000-valence-441778;14979;2023;44954;5;Diesel;Manuelle;26;3
Renault Zoé;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-life-charge-normale-r110-achat-integral-21-57200-sarreguemines-008425;13499;2022;42245;4;Electrique;Automatique;57;4
Renault Master;https://www.autosphere.fr/fiche/auto-occasion-renault-master-f3500-l2h2-2-3-blue-dci-135ch-confort-euro6-84120-pertuis-250398;25999;2023;31584;8;Diesel;Manuelle;84;3
Renault Austral;https://www.autosphere.fr/fiche/auto-occasion-renault-austral-1-3-tce-mild-hybrid-160ch-techno-auto-02500-hirson-250449;29799;2023;25214;8;Essence;Automatique;2;3
Renault Captur;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-0-tce-90ch-business-21-25000-besancon-195239;14980;2021;49479;5;Essence;Manuelle;25;5
Toyota Yaris;https://www.autosphere.fr/fiche/auto-occasion-toyota-yaris-120-vvt-i-dynamic-5p-my22-69410-champagne-au-mont-d-or-063872;18499;2023;18294;6;Essence;Manuelle;69;3
Opel Crossland X;https://www.autosphere.fr/fiche4/auto-occasion-opel-crossland-x-1-5-d-102ch-elegance-euro-6d-t-01100-bellignat-128516;12979;2020;77093;5;Diesel;Manuelle;1;6
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-plug-in-hybrid-225ch-allure-pack-e-eat8-16430-champniers-128153;23499;2022;57761;10;Hybride;Automatique;16;4
Renault Twingo;https://www.autosphere.fr/fiche/auto-occasion-renault-twingo-electric-vibes-r80-achat-integral-13730-saint-victoret-46146;9499;2021;30573;2;Electrique;Automatique;13;5
Mercedes Gla;https://www.autosphere.fr/fiche-mixte/auto-occasion-mercedes-gla-250-e-218ch-amg-line-8g-dct-60200-compiegne-250104;40999;2023;29949;9;Hybride;Automatique;60;3
Citroen C5 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-hybrid-225ch-shine-pack-e-eat8-51530-dizy-cr000357;19990;2021;74802;10;Hybride;Automatique;51;5
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-evolution-02300-chauny-250851;17490;2023;12352;5;Essence;Manuelle;2;3
Renault Arkana;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-6-e-tech-145ch-rs-line-21b-02300-chauny-250804;21990;2022;66870;5;Hybride;Automatique;2;4
Citroen C5 Aircross;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-hybrid-225ch-shine-pack-e-eat8-38320-eybens-251110;21480;2021;47749;10;Hybride;Automatique;38;5
