prix_reel,prix_pred,diff
18799,17816.61838566687,-982.3816143331314
17499,18349.70746001998,850.7074600199812
14499,16397.190309339574,1898.190309339574
20599,25227.734073047937,4628.734073047937
14899,18014.749830942776,3115.7498309427756
24990,21535.45848648399,-3454.541513516011
15499,17842.081221088993,2343.0812210889926
20499,21604.304297422943,1105.304297422943
11499,12701.657069361983,1202.6570693619833
20780,23248.65899218101,2468.658992181008
15999,13595.366864310854,-2403.633135689146
15999,22528.296854350323,6529.296854350323
14999,13868.922359686567,-1130.0776403134332
14999,18603.24506844135,3604.245068441349
17999,16417.851583140495,-1581.1484168595052
21799,26385.464133874273,4586.464133874273
20580,18427.745204243387,-2152.254795756613
18990,16701.40162680989,-2288.5983731901106
11999,12009.588615100594,10.588615100594325
25499,25471.639660628254,-27.360339371745795
14979,17311.937091625805,2332.937091625805
18999,17658.75238167175,-1340.2476183282488
18999,17081.658080752022,-1917.3419192479778
16900,17559.611188266746,659.6111882667465
11989,13785.365657085626,1796.3656570856256
22299,23483.06434376671,1184.0643437667095
13999,16861.296346860836,2862.296346860836
24799,24257.478755235436,-541.5212447645645
12480,14922.889248575771,2442.8892485757715
18990,22263.4537187471,3273.4537187470996
27999,26022.44980752064,-1976.5501924793607
21499,18991.30167517709,-2507.6983248229117
15279,17163.87115498601,1884.871154986009
37799,29206.908354109473,-8592.091645890527
38699,29206.422094875845,-9492.577905124155
27999,26649.96734851788,-1349.0326514821209
15299,14863.523942847834,-435.4760571521656
21699,24916.959506321055,3217.9595063210545
16499,21518.802188684018,5019.802188684018
10499,11142.541819625687,643.5418196256869
23999,24834.153805341637,835.153805341637
23299,26516.12449446171,3217.12449446171
14799,16915.196138900923,2116.196138900923
15999,18011.056304774807,2012.0563047748074
31799,26837.055588656345,-4961.944411343655
28499,32085.028198205946,3586.028198205946
15900,13402.072156267142,-2497.9278437328576
12999,12892.008743270639,-106.99125672936134
12999,16991.560576880962,3992.560576880962
18499,22502.814826500602,4003.814826500602
12850,18718.220533579075,5868.220533579075
26799,26097.576859116205,-701.423140883795
15280,22182.37110323822,6902.37110323822
17299,18612.84868830551,1313.8486883055084
9999,12551.552931956154,2552.5529319561538
29499,35513.76361932705,6014.763619327052
17990,20728.401390474533,2738.4013904745334
29499,33768.53264791955,4269.53264791955
25299,24852.023832177474,-446.9761678225259
17999,19726.30735042152,1727.3073504215208
21979,23037.737395669366,1058.7373956693664
22899,15806.630729235265,-7092.369270764735
12900,15304.437583892033,2404.437583892033
15499,16990.398173389134,1491.3981733891342
33999,29146.855338756384,-4852.144661243616
17499,20729.605371553593,3230.6053715535927
11499,14665.0066916709,3166.0066916709
15280,15102.686583852072,-177.31341614792836
15379,21268.31030175066,5889.310301750658
30499,26617.41638084168,-3881.5836191583185
14499,11883.50715412433,-2615.4928458756694
19477,26708.901445731044,7231.901445731044
24999,24933.22912419339,-65.770875806611
19499,20767.346513342025,1268.346513342025
19499,18968.315506252693,-530.684493747307
16999,17748.2797709145,749.2797709145016
12873,14667.603150920946,1794.603150920946
37990,29195.481262119207,-8794.518737880793
13999,20050.935528145666,6051.9355281456665
26499,25110.835309276103,-1388.1646907238974
21980,20037.901611717425,-1942.098388282575
26499,21420.15612701467,-5078.84387298533
12480,15360.522558841185,2880.522558841185
14578,14431.888987419657,-146.1110125803425
13478,13906.24799382636,428.24799382636047
17999,18546.399320022603,547.3993200226032
12479,15280.776044526152,2801.776044526152
15980,20171.888893750496,4191.888893750496
22499,21449.98608699016,-1049.0139130098396
16988,20326.739596492596,3338.7395964925963
16999,17083.928031571268,84.92803157126764
17499,18838.127470711388,1339.127470711388
28499,25061.364318902895,-3437.6356810971047
17299,17949.347964019777,650.3479640197766
32199,26628.96503764035,-5570.0349623596485
18990,19555.602969929852,565.6029699298524
19499,17965.493158970767,-1533.5068410292333
20285,20715.716463272653,430.7164632726526
17499,22182.85625077322,4683.85625077322
12899,10934.54443244121,-1964.4555675587908
18999,17008.212509969817,-1990.787490030183
14499,18101.204148020603,3602.2041480206026
19999,18296.682278987355,-1702.317721012645
16799,18807.323919381255,2008.323919381255
16999,16535.624225138326,-463.37577486167356
19499,18021.852648155887,-1477.1473518441126
11980,12892.75694817788,912.7569481778792
11990,9895.754902265366,-2094.2450977346343
23699,23814.300045699056,115.30004569905577
15490,15815.123439687286,325.123439687286
17299,19141.4124752594,1842.4124752593998
