prix_reel,prix_pred,diff
15900,15900.0,0.0
12999,12999.0,0.0
12999,12999.0,0.0
18499,18499.0,0.0
12850,12850.0,0.0
26799,21999.0,-4800.0
15280,15280.0,0.0
17299,14999.0,-2300.0
9999,9999.0,0.0
29499,29499.0,0.0
17990,21999.0,4009.0
29499,29499.0,0.0
25299,25299.0,0.0
17999,17999.0,0.0
21979,21979.0,0.0
22899,22649.0,-250.0
12900,12900.0,0.0
15499,15499.0,0.0
33999,30999.0,-3000.0
17499,17499.0,0.0
11499,11499.0,0.0
15280,15299.0,19.0
15379,14160.0,-1219.0
30499,30499.0,0.0
14499,14499.0,0.0
19477,19477.0,0.0
24999,24999.0,0.0
19499,19499.0,0.0
19499,19499.0,0.0
16999,14890.0,-2109.0
12873,12873.0,0.0
37990,36092.0,-1898.0
13999,13999.0,0.0
26499,26499.0,0.0
21980,21980.0,0.0
26499,26499.0,0.0
12480,12480.0,0.0
